"Site","Code"
"Ada, MN","ADA"
"Antigo, WI","ANTI"
"Arvilla, ND","ARVI"
"Baker, MN","BAKE"
"Barnesville, MN","BARN"
"Becker, MN","BECK"
"Cando, ND","CAND"
"Climax, MN","CLMX"
"Cody, NE","CODY"
"Crookston, MN","CRKN"
"Forest River, ND","FRIV"
"Glyndon, MN","GLYN"
"Grand Forks, ND","GFKS"
"Grenora, nd","GREN"
"Gully, mn","GULL"
"Hollandale, MN","HOLL"
"Hoople, ND","HOOP"
"Houston 1, MN","HTN1"
"Houston 2, MN","HTN2"
"Karlstad, MN","KARL"
"Lamberton, MN","LAMB"
"Linton, ND","LINT"
"Linton 1 bottom","LINT1"
"Linton 2 top","LINT2"
"Little Falls, MN","LTFS"
"Mabel, MN","MABE"
"Mandan, ND","MAND"
"Minot, ND","MINO"
"Minto, ND","MINT"
"Morris, MN","MORR"
"Park Rapids, MN","PARK"
"Prosper, MN","PROS"
"Rhinelander, WI","RHIN"
"Rolette, ND","ROLE"
"Rosemount, MN\","RSMT"
"Stephen, MN","STEP"
"Thief River, MN","THRV"
"Walhalla, ND","WALH"
"Waseca, MN","WASE"
"Watertown, SD","WATT"
"Williams, MN","WILL"
