"Species","Code"
"Acyrthosiphon pisum","APIS"
"Amphicercidus pulverulens","APUL"
"Anoecia spp.","ANOE"
"Aphis craccivora","ACRA"
"Aphis fabae","AFAB"
"Aphis glycines","AGLY"
"Aphis gossypii","AGOS"
"Aphis helianthi","AHEL"
"Aphis maculatae","AMAC"
"Aphis nasturtii","ANAS"
"Aphis spiraecola","ASPI"
"Aphis spp.","APHI"
"Asiphonaphis pruni","APRU"
"Aspidaphis adjuvans","AADJ"
"Capitophorus elaeagni","CELA"
"Capitophorus hippophaes","CHIP"
"Cavariella aegopodii","CAEG"
"Chaetosiphon spp.","CHAE"
"Chaitophorus populicola","CPOP"
"Chaitophorus spp.","CHAI"
"Dactynotus spp.","DACT"
"Drepanaphis kanzensis","DKAN"
"Eriosoma spp.","ERIO"
"Forda spp.","FORD"
"Gobaishia ulmifusus","GULM"
"Hamamelestes spinosus","HSPI"
"Hayhurstia atriplicus","HATR"
"Hyalopterus pruni","HPRU"
"Hyperomyzus lactucae","HLAC"
"Hyperomyzus pallidus","HPAL"
"Hyperomyzus spp.","HYPE"
"Izyphya spp.","IZYP"
"Lipaphis pseudobrassicae","LPSE"
"Macrosiphoniella spp.","MACR"
"Macrosiphum euphorbiae","MEUP"
"Macrosiphum spp.","MACS"
"Myzocallis discolor","MDIS"
"Myzocallis punctata","MPUN"
"Myzocallis tiliae","MTIL"
"Myzus persicae","MPER"
"Pemphigus spp.","PEMP"
"Phorodon humuli","PHUM"
"Pleotrichophorus spp.","PLEO"
"Pterocomma smithiae","PSMI"
"Rhobodium porosum","RPOR"
"Rhopalosiphoninus staphylae","RSTA"
"Rhopalosiphum maidis","RMAI"
"Rhopalosiphum nymphae","RNYM"
"Rhopalosiphum padi","RPAD"
"Rhopalosiphum rufiabdominalis","RRUF"
"Schizaphis graminum","SGRA"
"Sipha elegans","SELE"
"Sitobion avenae","SAVE"
"Tetraneura ulmisacculi","TETR"
"Therioaphis riehmi","TRIE"
"Therioaphis trifolii","TTRI"
"Thripsaphis spp.","THRI"
"Tinocallis ulmifolii","TULM"
"Unidentified","UNID"
"Uroleucon spp.","UROL"
